area,season_year,season,component,raw_value,month_count,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
China,1981,Autumn,P,63.58173085597912,3,162,426,35.09081557425016,17.811151435192333,27,1.5996110855267287
China,1981,Autumn,T10,19.526620453452963,3,162,438,9.46769031698568,3.5828606387523703,30,2.807513646405745
China,1981,Autumn,T90,5.223933880785839,3,162,438,9.551843929183214,3.3936550145438056,30,-1.2752946395110103
China,1981,Autumn,W,11.449455458146453,3,165,540,6.0723024477383145,1.7036813394852086,30,3.1561964586833597
China,1981,Spring,P,91.26136807580099,3,160,418,37.89382531287357,19.927933666985215,29,2.678026917127986
China,1981,Spring,T10,7.837787787964675,3,163,424,9.516874403257894,2.6193918585703555,30,-0.6410215446762715
China,1981,Spring,T90,9.288347729576891,3,163,424,9.637034156630955,3.0795069758316305,30,-0.11322800363519231
China,1981,Spring,W,10.410888589632902,3,165,523,6.75286252703229,1.83592933531138,30,1.9924656097835043
China,1981,Summer,P,92.48626794869841,3,161,414,68.5605871564573,19.715863393875775,29,1.2135243744726394
China,1981,Summer,T10,8.854819719281958,3,162,429,9.50006846486689,2.3513554227921034,30,-0.27441565802023077
China,1981,Summer,T90,9.455594055878205,3,162,429,9.56443013998634,3.111738492566681,30,-0.03497597383845824
China,1981,Summer,W,11.030130897272398,3,165,537,6.465953511427338,1.8240239078538407,30,2.502257435438609
China,1982,Autumn,D,40.53996058892363,3,157,392,54.183622499059034,8.544305730859591,23,-1.5968134029729764
China,1982,Autumn,P,30.731032797120918,3,168,600,35.09081557425016,17.811151435192333,27,-0.24477826675006098
China,1982,Autumn,T10,10.03814284895805,3,165,444,9.46769031698568,3.5828606387523703,30,0.1592170585152912
China,1982,Autumn,T90,7.028055517456863,3,165,444,9.551843929183214,3.3936550145438056,30,-0.7436785415460424
China,1982,Autumn,W,8.100826827830655,3,168,525,6.0723024477383145,1.7036813394852086,30,1.1906712441337697
China,1982,Spring,D,31.95941252181635,3,157,392,53.11320219473977,9.847511234763543,23,-2.1481356221505608
China,1982,Spring,P,24.411256455575018,3,166,572,37.89382531287357,19.927933666985215,29,-0.6765663255711876
