station_id,USAF,STATION NAME,CTRY,ICAO,lat,lon,elev_m,province,province_source,region,grid_id,grid_lat,grid_lon
590970-99999,590970,XINFENG,CH,,0.0,0.0,-999.0,Guangdong,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
591020-99999,591020,XUNWU,CH,,24.95,115.65,299.0,Jiangxi,station_table_pdf,South,23.75_116.25,23.75,116.25
591090-99999,591090,XING-NING,CH,,0.0,0.0,-999.0,Guangdong,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
591170-99999,591170,MEI XIAN,CH,ZGMX,24.283,116.067,116.9,Guangdong,station_table_pdf,South,23.75_116.25,23.75,116.25
591240-99999,591240,NAN-JING,CH,,0.0,0.0,-999.0,Fujian,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
591260-99999,591260,ZHANGZHOU,CH,,24.633,117.65,24.0,Fujian,province_geojson,South,23.75_118.75,23.75,118.75
591270-99999,591270,DA-XI,CH,,0.0,0.0,-999.0,Fujian,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
591330-99999,591330,JIN-JIANG,CH,,24.8,118.583,22.0,Fujian,station_table_pdf,South,23.75_118.75,23.75,118.75
591340-99999,591340,GAOQI,CH,ZSAM,24.544,118.128,18.0,Fujian,station_table_pdf,South,23.75_118.75,23.75,118.75
591350-99999,591350,CHIN-MEN,TW,,24.433,118.433,12.0,Taiwan,isd_country_code,South,23.75_118.75,23.75,118.75
591520-99999,591520,XINZHU,CH,,24.8,120.967,34.0,Taiwan,province_geojson,South,23.75_121.25,23.75,121.25
591530-99999,591530,XIN-ZHU,TW,,24.817,120.95,8.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
591580-99999,591580,TAIZHONG,CH,,24.15,120.683,78.0,Taiwan,province_geojson,South,23.75_121.25,23.75,121.25
591590-99999,591590,TAICHUNG,TW,,24.183,120.65,112.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
591625-99999,591625,YANCHENG,CH,ZSYN,33.417,120.2,3.0,Jiangsu,province_geojson,East,33.75_121.25,33.75,121.25
592020-99999,592020,XI-YANG (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592030-99999,592030,ZHE-SHANG,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592090-99999,592090,NAPO,CH,,23.3,105.95,794.0,Guangxi,station_table_pdf,South,23.75_106.25,23.75,106.25
592110-99999,592110,BAISE,CH,,23.9,106.6,177.0,Guangxi,station_table_pdf,South,23.75_106.25,23.75,106.25
592160-99999,592160,HUO-JIAO,CH,,23.633,106.717,329.0,Guangxi,province_geojson,South,23.75_106.25,23.75,106.25
592170-99999,592170,RONG-LAO-XIANG,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592180-99999,592180,XINJING,CH,,23.133,106.417,740.0,Guangxi,station_table_pdf,South,23.75_106.25,23.75,106.25
592240-99999,592240,PINGMA,CH,,23.6,107.117,112.0,Guangxi,station_table_pdf,South,23.75_106.25,23.75,106.25
592280-99999,592280,LONG'AN,CH,,23.133,107.65,457.0,Guangxi,station_table_pdf,South,23.75_108.75,23.75,108.75
592340-99999,592340,QIAO-LI,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592420-99999,592420,DA-WAN,CH,,23.85,109.417,76.0,Guangxi,station_table_pdf,South,23.75_108.75,23.75,108.75
592450-99999,592450,WU-XUAN,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592540-99999,592540,GUIPING,CH,,23.4,110.083,44.0,Guangxi,province_geojson,South,23.75_111.25,23.75,111.25
592580-99999,592580,LIU-CHEN,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592620-99999,592620,GU-NA,CH,,23.833,111.567,137.0,Guangxi,province_geojson,South,23.75_111.25,23.75,111.25
592650-99999,592650,WUZHOU,CH,,23.483,111.3,120.0,Guangxi,station_table_pdf,South,23.75_111.25,23.75,111.25
592710-99999,592710,HUAIJI,CH,,23.95,112.2,57.0,Guangdong,station_table_pdf,South,23.75_111.25,23.75,111.25
592770-99999,592770,LU-BU,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592780-99999,592780,GAOYAO,CH,,23.05,112.467,12.0,Guangdong,station_table_pdf,South,23.75_111.25,23.75,111.25
