province,wmo_id,usaf_prefix,lat_table,lon_table,elev_table_m
Shanghai,58361,583610,31.1,121.36666666666666,10.2
Shanghai,58362,583620,31.4,121.45,6.7
Shanghai,58365,583650,31.366666666666667,121.25,9.2
Shanghai,58366,583660,31.666666666666668,121.5,5.8
Shanghai,58367,583670,31.2,121.43333333333334,8.6
Shanghai,58369,583690,31.05,121.78333333333333,6.2
Shanghai,58370,583700,31.233333333333334,121.53333333333333,8.1
Shanghai,58460,584600,30.733333333333334,121.35,6.2
Shanghai,58461,584610,31.133333333333333,121.11666666666666,8.5
Shanghai,58462,584620,31.033333333333335,121.23333333333333,9.1
Shanghai,58463,584630,30.883333333333333,121.5,9.5
Yunnan,56444,564440,28.483333333333334,98.91666666666667,3320.8
Yunnan,56483,564830,28.583333333333332,103.95,494.5
Yunnan,56489,564890,28.233333333333334,103.63333333333334,876.3
Yunnan,56497,564970,28.1,104.23333333333333,433.3
Yunnan,56533,565330,27.75,98.66666666666667,1587.7
Yunnan,56543,565430,27.833333333333332,99.7,3277.6
Yunnan,56548,565480,27.166666666666668,99.28333333333333,2326.0
Yunnan,56567,565670,27.3,100.85,2242.3
Yunnan,56582,565820,27.75,103.9,1177.0
Yunnan,56585,565850,27.183333333333334,103.53333333333333,1916.0
Yunnan,56586,565860,27.35,103.71666666666667,1950.0
Yunnan,56594,565940,27.633333333333333,104.05,884.0
Yunnan,56595,565950,27.416666666666668,104.86666666666666,1644.3
Yunnan,56596,565960,27.85,105.05,1176.5
Yunnan,56641,566410,26.9,98.86666666666666,1191.5
Yunnan,56643,566430,25.866666666666667,98.85,950.6
Yunnan,56645,566450,26.416666666666668,99.41666666666667,2345.9
Yunnan,56646,566460,26.533333333333335,99.91666666666667,2193.5
Yunnan,56649,566490,26.1,99.96666666666667,2059.9
Yunnan,56651,566510,26.85,100.21666666666667,2382.1
Yunnan,56652,566520,26.683333333333334,100.75,2131.0
Yunnan,56654,566540,26.583333333333332,100.18333333333334,2196.8
Yunnan,56664,566640,26.633333333333333,101.26666666666667,1230.8
Yunnan,56669,566690,26.05,101.66666666666667,1534.1
Yunnan,56673,566730,26.916666666666668,102.91666666666667,894.9
Yunnan,56684,566840,26.4,103.25,2189.3
Yunnan,56688,566880,26.1,103.16666666666667,1253.4
Yunnan,56697,566970,26.216666666666665,104.08333333333333,1987.4
Yunnan,56739,567390,24.983333333333334,98.5,1696.9
Yunnan,56742,567420,25.9,99.36666666666666,1663.9
Yunnan,56745,567450,25.683333333333334,99.95,1627.2
Yunnan,56746,567460,25.466666666666665,99.51666666666667,1618.3
Yunnan,56748,567480,25.116666666666667,99.18333333333334,1651.2
Yunnan,56751,567510,25.7,100.18333333333334,1991.6
Yunnan,56752,567520,25.833333333333332,100.56666666666666,1440.3
Yunnan,56755,567550,25.35,100.48333333333333,1670.0
Yunnan,56757,567570,25.266666666666666,100.28333333333333,1744.0
Yunnan,56761,567610,25.716666666666665,101.31666666666666,1873.7
Yunnan,56764,567640,25.533333333333335,101.23333333333333,1875.2
Yunnan,56766,567660,25.3,101.51666666666667,1821.6
Yunnan,56767,567670,25.183333333333334,101.28333333333333,1858.3
Yunnan,56772,567720,25.233333333333334,102.5,1694.4
Yunnan,56774,567740,25.533333333333335,102.41666666666667,1712.0
